Time,Demand
2017,10,2603
2017,10,2751
2017,10,3026
2017,10,3300
2017,10,3520
2017,10,3720
2017,10,3882
2017,10,3885
2017,10,3821
2017,10,3611
2017,10,3353
2017,10,3077
2017,10,2835
2017,10,2653
2017,10,2544
2017,10,2474
2017,10,2478
2017,10,2467
2017,10,2474
2017,10,2436
2017,10,2388
2017,10,2391
2017,10,2426
2017,10,2509
2017,10,2603
2017,10,2754
2017,10,2966
2017,10,3171
2017,10,3316
2017,10,3455
2017,10,3601
2017,10,3567
2017,10,3546
2017,10,3419
2017,10,3242
2017,10,3043
2017,10,2878
2017,10,2779
2017,10,2691
2017,10,2672
2017,10,2657
2017,10,2657
2017,10,2646
2017,10,2571
2017,10,2518
2017,10,2525
2017,10,2578
2017,10,2663
2017,10,2806
2017,10,2974
2017,10,3242
2017,10,3470
2017,10,3596
2017,10,3725
2017,10,3831
2017,10,3790
2017,10,3840
2017,10,3785
2017,10,3641
2017,10,3484
2017,10,3306
2017,10,3205
2017,10,3118
2017,10,3033
2017,10,3008
2017,10,3029
2017,10,3007
2017,10,2812
2017,10,2654
2017,10,2620
2017,10,2661
2017,10,2775
2017,10,2928
2017,10,3139
2017,10,3479
